critic,reciprocal_scale,coarse_shifted_upper,fine_unrestricted_upper,fine_shifted_lower_side,fine_shifted_upper_side,filtered_lower_side,filtered_upper_side,shifted_seconds,filtered_seconds,extra_derivative_seconds
MLP,4,1.0726969204288253,1.1554937478813372,0.7968559118198755,1.0683098125100514,0.7605270772846779,1.054373715305701,47.586090600001626,62.56824430002598,51.730066500022076
MLP,8,0.7206966899047984,0.8703404090811091,0.6567560823241365,0.7083422799078107,0.5933421578774869,0.6603466934975586,22.959315299987793,30.142149599967524,51.730066500022076
MLP,16,0.7549144807317134,0.7955328928446761,0.6571740858526027,0.5648814088172003,0.5633046312095757,0.5093281951094468,10.94855870003812,14.435721799964085,51.730066500022076
MLP,32,0.8004277376867321,0.7983155698439077,0.6582358031364492,0.5683624076445994,0.5245738153917046,0.42901655105470127,5.403871399990749,7.11125479999464,51.730066500022076
MLP,64,1.1881338071880236,0.8060655715435132,0.7709065872631982,0.6084418656273556,0.5072211539127238,0.41536447477483307,2.562425499956589,3.523592200013809,51.730066500022076
Min2,4,1.128133958336548,1.1157063006894532,0.9585282714824643,1.1002185479774198,0.9221869193570456,1.0740758216606991,46.84457090002252,61.89966319996165,100.03860470000654
Min2,8,0.9472631719463607,0.9150246765766497,0.7852153721714785,0.9088519674933195,0.7256312425715805,0.8373001690970341,22.56462180003291,29.68840669997735,100.03860470000654
Min2,16,0.8704468953792457,0.8391822313205921,0.7100495080894689,0.7656398279696077,0.620240534532968,0.6652457808040708,10.85801599995466,14.261084199999459,100.03860470000654
Min2,32,0.8943354477441972,0.777262265394711,0.6983261570321702,0.7461414002400488,0.5676199268391429,0.6078260948306706,5.2497520000324585,6.934759899973869,100.03860470000654
Min2,64,0.9864105415081212,0.7921311146910739,0.731194959500499,0.774328332830919,0.5446731426372935,0.5822634568357898,2.497943700000178,3.359124000009615,100.03860470000654
