critic,beta,key,method,variant,bound,seconds
MLP,0.0,0:MLP:contact:4096:16:values,Contact,values,0.7398149153341365,34.31905120011652
MLP,0.0,0:MLP:contact:4096:16:filtered,Contact,filtered,0.5700828097942576,86.89684260002105
MLP,0.0,0:MLP:contact:4096:32:values,Contact,values,0.7790294185833773,33.14073779952014
MLP,0.0,0:MLP:contact:4096:32:filtered,Contact,filtered,0.5370254916897466,85.26853419997497
MLP,0.0,0:MLP:contact:4096:64:values,Contact,values,1.1070789779341794,32.61721529997885
MLP,0.0,0:MLP:contact:4096:64:filtered,Contact,filtered,0.5313647565935753,84.5418469000142
MLP,0.0,0:MLP:contact:16384:16:values,Contact,values,0.6571740858526027,41.08381099981489
MLP,0.0,0:MLP:contact:16384:16:filtered,Contact,filtered,0.5633046312095757,96.2405058000586
MLP,0.0,0:MLP:contact:16384:32:values,Contact,values,0.6582358031364492,36.337245600356255
MLP,0.0,0:MLP:contact:16384:32:filtered,Contact,filtered,0.5245738153917046,89.64937300002202
MLP,0.0,0:MLP:contact:16384:64:values,Contact,values,0.7709065872631982,34.26607190008508
MLP,0.0,0:MLP:contact:16384:64:filtered,Contact,filtered,0.5072211539127238,86.77899139997317
MLP,0.0,0:MLP:bellman:16384:16:0:lipschitz,Bellman,lipschitz,0.4912251715450111,32.61339209997095
MLP,0.0,0:MLP:bellman:16384:16:0:derivative,Bellman,derivative,0.4912251715304592,84.34397940000053
MLP,0.0,0:MLP:bellman:16384:32:0:lipschitz,Bellman,lipschitz,0.6144366514581634,32.60762829997111
MLP,0.0,0:MLP:bellman:16384:32:0:derivative,Bellman,derivative,0.6144366514290596,84.33765990001848
MLP,0.0,0:MLP:bellman:16384:64:0:lipschitz,Bellman,lipschitz,1.0478036799422625,32.60561060003238
MLP,0.0,0:MLP:bellman:16384:64:0:derivative,Bellman,derivative,1.0478036798840549,84.33582000003662
MLP,0.0,0:MLP:bellman:65536:16:0:lipschitz,Bellman,lipschitz,0.48761383303281036,34.19647539994912
MLP,0.0,0:MLP:bellman:65536:16:0:derivative,Bellman,derivative,0.48761383301825845,85.94078330002958
