critic_side,location_side,center_side,reciprocal_scale,bound,coverage_correction,lower_side,upper_side,seconds,reference_error_lower,reference_error_upper
32,1024,512,16,1.1361423422895314,0.17837271693497314,0.7003630122017057,1.1361423422895314,2.480358500033617,0.09206183394417167,0.09207595275984204
32,1024,512,32,1.0442919205088401,0.2960382541787112,0.664561710334965,1.0442919205088401,1.395836199983023,0.09206183394417167,0.09207595275984204
32,1024,512,64,1.4621887869943748,0.5313693286661874,0.9532363558464567,1.4621887869943748,1.3876805000472814,0.09206183394417167,0.09207595275984204
32,2048,1024,16,0.9790380292770351,0.08906684915655205,0.5801505072240616,0.9790380292770351,5.816357599978801,0.09206183394417167,0.09207595275984204
32,2048,1024,32,0.797259558659789,0.14778010846748657,0.42165021571963734,0.797259558659789,5.700912799977232,0.09206183394417167,0.09207595275984204
32,2048,1024,64,0.8881421566547942,0.2652066270893556,0.5150008564887685,0.8881421566547942,5.587868999980856,0.09206183394417167,0.09207595275984204
32,4096,2048,16,0.921502135694027,0.04450354725122452,0.5151997236534953,0.921502135694027,24.196868300030474,0.09206183394417167,0.09207595275984204
32,4096,2048,32,0.6827595420518264,0.07383029957873077,0.30763684472640307,0.6827595420518264,23.32805950002512,0.09206183394417167,0.09207595275984204
32,4096,2048,64,0.7461351126976297,0.13248380423374329,0.31733839922435436,0.7461351126976297,22.978035400039516,0.09206183394417167,0.09207595275984204
64,1024,512,16,0.9929449363562526,0.1784294418475838,0.7378110756117167,0.9929449363562526,1.3681258999858983,0.045278729405254126,0.0452928482209245
64,1024,512,32,0.9042382307143271,0.29609497909223137,0.6885130830833077,0.9042382307143271,1.349486600025557,0.045278729405254126,0.0452928482209245
64,1024,512,64,1.1638362117500947,0.5314260535797075,0.9941924059221492,1.1638362117500947,1.3475468999822624,0.045278729405254126,0.0452928482209245
64,2048,1024,16,0.844841721260309,0.08909521161331213,0.615933242279425,0.844841721260309,5.7438872999628074,0.045278729405254126,0.0452928482209245
64,2048,1024,32,0.6555835091721747,0.14780847092424665,0.45906504213144217,0.6555835091721747,5.595093799987808,0.045278729405254126,0.0452928482209245
64,2048,1024,64,0.7311973299028978,0.2652349895461157,0.5335791594943657,0.7311973299028978,5.503882399993017,0.045278729405254126,0.0452928482209245
64,4096,2048,16,0.7768494747369914,0.04451772847914981,0.5543723844248234,0.7768494747369914,24.293527400062885,0.045278729405254126,0.0452928482209245
64,4096,2048,32,0.536813907803662,0.07384448080665607,0.34708555952056486,0.536813907803662,23.54462910001166,0.045278729405254126,0.0452928482209245
64,4096,2048,64,0.49962337649139954,0.13249798546257807,0.31490017365376843,0.49962337649139954,22.928201300033834,0.045278729405254126,0.0452928482209245
