case,n,method,repetition,status,bound,corrected_patches,total_seconds
frequency_1_asym_0.15_ripple_0,256,global_polynomial,0,certified,0.013883746489675058,0,0.1592038000235334
frequency_1_asym_0.15_ripple_0,256,adaptive_polynomial,0,certified,0.013883746489675058,0,0.04954049992375076
frequency_1_asym_0.15_ripple_0,256,adaptive_hybrid,0,certified,0.013883746489675058,0,0.08490580006036907
frequency_1_asym_0.15_ripple_0,1024,global_polynomial,0,certified,0.0034906210959294937,0,0.5553193000378087
frequency_1_asym_0.15_ripple_0,1024,adaptive_polynomial,0,certified,0.0034976210885652296,0,0.1669906999450177
frequency_1_asym_0.15_ripple_0,1024,adaptive_hybrid,0,certified,0.0034976210885652296,0,0.1709633000427857
frequency_1_asym_0.15_ripple_0.12,256,global_polynomial,0,certified,0.04147583050166205,0,0.15805970004294068
frequency_1_asym_0.15_ripple_0.12,256,adaptive_polynomial,0,certified,0.052755687115212536,0,0.04777830000966787
frequency_1_asym_0.15_ripple_0.12,256,adaptive_hybrid,0,certified,0.052755687115212536,0,0.09095689991954714
frequency_1_asym_0.15_ripple_0.12,1024,global_polynomial,0,certified,0.005623977875370472,0,0.5887511000037193
frequency_1_asym_0.15_ripple_0.12,1024,adaptive_polynomial,0,certified,0.005633044596914989,0,0.16191749996505678
frequency_1_asym_0.15_ripple_0.12,1024,adaptive_hybrid,0,certified,0.005633044596914989,0,0.17945709999185055
frequency_1_asym_0.35_ripple_0,256,global_polynomial,0,certified,0.015648250014015264,0,0.158844199962914
frequency_1_asym_0.35_ripple_0,256,adaptive_polynomial,0,certified,0.019245805052795446,0,0.04695779993198812
frequency_1_asym_0.35_ripple_0,256,adaptive_hybrid,0,certified,0.019245805052795446,0,0.08122360007837415
frequency_1_asym_0.35_ripple_0,1024,global_polynomial,0,certified,0.0043140231659851164,0,0.5632430000696331
frequency_1_asym_0.35_ripple_0,1024,adaptive_polynomial,0,certified,0.0043334802297220545,0,0.16715840005781502
frequency_1_asym_0.35_ripple_0,1024,adaptive_hybrid,0,certified,0.0043334802297220545,0,0.17427680001128465
frequency_1_asym_0.35_ripple_0.12,256,global_polynomial,0,certified,0.04372825045012295,0,0.15852489997632802
frequency_1_asym_0.35_ripple_0.12,256,adaptive_polynomial,0,certified,0.06341911511906125,0,0.0465715000173077
frequency_1_asym_0.35_ripple_0.12,256,adaptive_hybrid,0,certified,0.06341911511906125,0,0.09179370000492781
frequency_1_asym_0.35_ripple_0.12,1024,global_polynomial,0,certified,0.0064589152079574655,0,0.5747996000573039
frequency_1_asym_0.35_ripple_0.12,1024,adaptive_polynomial,0,certified,0.006811298687293423,0,0.16280759999062866
