case,target,method,repetition,n,status,epsilon,width,degree,upper,lower,seconds,reason
skew,0.02,polynomial,0,64,above_target,,6,3,,0.06817297734510842,0.0030250000418163836,
skew,0.02,polynomial,0,64,above_target,,7,3,,0.10708043894193592,0.002618200029246509,
skew,0.02,polynomial,0,64,above_target,,5,2,,0.08829394397341765,0.0025686000008136034,
skew,0.02,polynomial,0,128,above_target,,6,2,,0.02951705341620265,0.005155199964065105,
skew,0.02,polynomial,0,128,above_target,,7,3,,0.030092247657244414,0.005297199997585267,
skew,0.02,polynomial,0,128,above_target,,9,3,,0.03745562052860563,0.00505229999544099,
skew,0.02,polynomial,0,256,certified,,7,2,0.015550314018698663,,0.03698799997800961,
skew,0.02,polynomial,1,64,above_target,,6,3,,0.06817297734510842,0.002765399985946715,
skew,0.02,polynomial,1,64,above_target,,7,3,,0.10708043894193592,0.0026159999542869627,
skew,0.02,polynomial,1,64,above_target,,5,2,,0.08829394397341765,0.0025439999881200492,
skew,0.02,polynomial,1,128,above_target,,6,2,,0.02951705341620265,0.005165200040210038,
skew,0.02,polynomial,1,128,above_target,,7,3,,0.030092247657244414,0.005141100031323731,
skew,0.02,polynomial,1,128,above_target,,9,3,,0.03745562052860563,0.005114100000355393,
skew,0.02,polynomial,1,256,certified,,7,2,0.015550314018698663,,0.03747739997925237,
skew,0.02,polynomial,2,64,above_target,,6,3,,0.06817297734510842,0.002761300012934953,
skew,0.02,polynomial,2,64,above_target,,7,3,,0.10708043894193592,0.002584400004707277,
skew,0.02,polynomial,2,64,above_target,,5,2,,0.08829394397341765,0.0025596999912522733,
skew,0.02,polynomial,2,128,above_target,,6,2,,0.02951705341620265,0.0051036999793723226,
skew,0.02,polynomial,2,128,above_target,,7,3,,0.030092247657244414,0.005057000031229109,
skew,0.02,polynomial,2,128,above_target,,9,3,,0.03745562052860563,0.005120999994687736,
skew,0.02,polynomial,2,256,certified,,7,2,0.015550314018698663,,0.03758079995168373,
skew,0.02,uncorrected,0,64,above_target,"[5, 128]",,,,0.15994202026892337,0.006130599998869002,
skew,0.02,uncorrected,0,64,above_target,"[1, 32]",,,,0.20166809271162775,0.005947800003923476,
