case,target,method,n,bound_upper,median_seconds,minimum_seconds,maximum_seconds
skew,0.02,polynomial,256,0.015550314018698663,0.08523749996675178,0.08517330000177026,0.08708209998439997
skew,0.02,uncorrected,2048,0.013427271260849756,1.29518850002205,1.2863969000172801,1.3050899999798276
skew,0.02,corrected,256,0.019198562988147663,0.19583190005505458,0.19495670002652332,0.19671599997673184
skew,0.01,polynomial,512,0.008149053524868898,0.17201310000382364,0.17092060000868514,0.17867880000267178
skew,0.01,uncorrected,4096,0.007887026279947097,2.5266049999627285,2.517843500012532,2.5631274999468587
skew,0.01,corrected,512,0.008522602962402412,0.3753160999622196,0.3682484999881126,0.3755228000227362
skew_strong,0.02,polynomial,256,0.015648250014015264,0.09509179997257888,0.0928557000006549,0.09678849996998906
skew_strong,0.02,uncorrected,2048,0.014828490392595699,1.3340855999849737,1.332644900016021,1.3537566000013612
skew_strong,0.02,corrected,512,0.008854031512007665,0.3826223000069149,0.3819779999903403,0.3941511000157334
skew_strong,0.01,polynomial,512,0.007974739435306208,0.1862156999995932,0.18594619998475537,0.19787360000191256
skew_strong,0.01,uncorrected,4096,0.00713040590567889,2.6460706000216305,2.642814799968619,2.6556469000061043
skew_strong,0.01,corrected,512,0.008854031512007665,0.3878033000510186,0.3878007999737747,0.3889542000251822
two_peaks,0.02,polynomial,512,0.01680841860430283,0.18964339996455237,0.185160499997437,0.19914370001060888
two_peaks,0.02,uncorrected,4096,0.01901579153003331,2.6980787999927998,2.6936180000193417,2.7068039000150748
two_peaks,0.02,corrected,1024,0.01271781102061674,0.7612736999872141,0.7575089999591,0.7658127000322565
two_peaks,0.01,polynomial,1024,0.007727379202190328,0.38094030000502244,0.3798223999910988,0.38613609998719767
two_peaks,0.01,uncorrected,16384,0.0050326545384556266,12.565927400020882,12.55927959998371,12.572877200029325
two_peaks,0.01,corrected,2048,0.006343268248517498,1.458103500015568,1.4527266999939457,1.4691487000091001
