case,target,method,repetition,n,total_seconds
skew,0.02,polynomial,0,256,0.08708209998439997
skew,0.02,polynomial,1,256,0.08523749996675178
skew,0.02,polynomial,2,256,0.08517330000177026
skew,0.02,uncorrected,0,2048,1.3050899999798276
skew,0.02,uncorrected,1,2048,1.2863969000172801
skew,0.02,uncorrected,2,2048,1.29518850002205
skew,0.02,corrected,0,256,0.19495670002652332
skew,0.02,corrected,1,256,0.19671599997673184
skew,0.02,corrected,2,256,0.19583190005505458
skew,0.01,polynomial,0,512,0.17201310000382364
skew,0.01,polynomial,1,512,0.17867880000267178
skew,0.01,polynomial,2,512,0.17092060000868514
skew,0.01,uncorrected,0,4096,2.5631274999468587
skew,0.01,uncorrected,1,4096,2.5266049999627285
skew,0.01,uncorrected,2,4096,2.517843500012532
skew,0.01,corrected,0,512,0.3682484999881126
skew,0.01,corrected,1,512,0.3755228000227362
skew,0.01,corrected,2,512,0.3753160999622196
skew_strong,0.02,polynomial,0,256,0.09509179997257888
skew_strong,0.02,polynomial,1,256,0.0928557000006549
skew_strong,0.02,polynomial,2,256,0.09678849996998906
skew_strong,0.02,uncorrected,0,2048,1.3537566000013612
skew_strong,0.02,uncorrected,1,2048,1.332644900016021
skew_strong,0.02,uncorrected,2,2048,1.3340855999849737
skew_strong,0.02,corrected,0,512,0.3819779999903403
skew_strong,0.02,corrected,1,512,0.3826223000069149
skew_strong,0.02,corrected,2,512,0.3941511000157334
skew_strong,0.01,polynomial,0,512,0.1862156999995932
skew_strong,0.01,polynomial,1,512,0.19787360000191256
skew_strong,0.01,polynomial,2,512,0.18594619998475537
skew_strong,0.01,uncorrected,0,4096,2.6556469000061043
skew_strong,0.01,uncorrected,1,4096,2.6460706000216305
skew_strong,0.01,uncorrected,2,4096,2.642814799968619
skew_strong,0.01,corrected,0,512,0.3878007999737747
skew_strong,0.01,corrected,1,512,0.3878033000510186
skew_strong,0.01,corrected,2,512,0.3889542000251822
two_peaks,0.02,polynomial,0,512,0.185160499997437
two_peaks,0.02,polynomial,1,512,0.18964339996455237
two_peaks,0.02,polynomial,2,512,0.19914370001060888
two_peaks,0.02,uncorrected,0,4096,2.7068039000150748
two_peaks,0.02,uncorrected,1,4096,2.6936180000193417
two_peaks,0.02,uncorrected,2,4096,2.6980787999927998
two_peaks,0.02,corrected,0,1024,0.7575089999591
two_peaks,0.02,corrected,1,1024,0.7658127000322565
two_peaks,0.02,corrected,2,1024,0.7612736999872141
two_peaks,0.01,polynomial,0,1024,0.38094030000502244
two_peaks,0.01,polynomial,1,1024,0.3798223999910988
two_peaks,0.01,polynomial,2,1024,0.38613609998719767
two_peaks,0.01,uncorrected,0,16384,12.55927959998371
two_peaks,0.01,uncorrected,1,16384,12.572877200029325
two_peaks,0.01,uncorrected,2,16384,12.565927400020882
two_peaks,0.01,corrected,0,2048,1.4527266999939457
two_peaks,0.01,corrected,1,2048,1.4691487000091001
two_peaks,0.01,corrected,2,2048,1.458103500015568
