profile,delta_power,contact_effectivity_lower,residual_effectivity_upper,distance_effectivity_upper,reconstruction_effectivity_upper,cells,elapsed_seconds
sine,2,5.098525013329072,3.1242806307560773,1.0722820351479068,4.1965626659039845,768,0.02717270003631711
sine,3,10.984439156711424,4.232063224021488,1.149148792981777,5.381212017003264,1280,0.06140519998734817
sine,4,23.665256769763666,4.591663096227002,1.1682966552713512,5.759959751498353,1536,0.051716100017074496
sine,5,50.98525013329072,4.717462468317588,1.1779040145753532,5.89536648289294,2048,0.06793920003110543
sine,6,109.84439156711424,4.778139794054162,1.1815720459904397,5.959711840044602,2560,0.08553579996805638
sine,7,236.65256769763664,4.7982790774281066,1.1790982169417021,5.977377294369809,2816,0.09320679999655113
sine,8,509.8525013329072,4.810833393533373,1.1814274453752893,5.992260838908662,3328,0.1097590999561362
quadratic,4,20.3581321244618,3.0105702949755955,0.5038540462979658,3.5144243412735614,1792,0.04732569999760017
quadratic,6,94.49407874211549,3.018686675232012,0.5039061946123399,3.5225928698443516,2560,0.06733620003797114
quadratic,8,438.6026607319299,3.0195488911009436,0.5038996545374059,3.5234485456383493,3584,0.09271209995495155
