case,method,target,repetition,status,n,seconds,bound
variable_l1,polynomial,0.12,0,not_reached,,11.083302300074138,
variable_l1,polynomial,0.08,0,not_reached,,11.08330450009089,
variable_l1,polynomial,0.04,0,not_reached,,11.083305400097743,
variable_l1,refined_polynomial,0.12,0,target_certified,33,4.140495500061661,0.08837959996124405
variable_l1,refined_polynomial,0.08,0,target_certified,65,11.662611400010064,0.05166569497503737
variable_l1,refined_polynomial,0.04,0,not_reached,,15.518160100094974,
variable_l1,refined_corrected,0.12,0,target_certified,33,6.649656299967319,0.07818472564417193
variable_l1,refined_corrected,0.08,0,target_certified,33,6.649656299967319,0.07818472564417193
variable_l1,refined_corrected,0.04,0,not_reached,,16.432415800052695,
anisotropic_l2,polynomial,0.12,0,target_certified,33,6.030885100015439,0.10079048291016565
anisotropic_l2,polynomial,0.08,0,target_certified,65,14.240118500078097,0.05896451263575199
anisotropic_l2,polynomial,0.04,0,not_reached,,20.275963900028728,
anisotropic_l2,refined_polynomial,0.12,0,target_certified,17,2.9062877000542358,0.0676534481486881
anisotropic_l2,refined_polynomial,0.08,0,target_certified,17,2.9062877000542358,0.0676534481486881
anisotropic_l2,refined_polynomial,0.04,0,target_certified,65,27.706693700049073,0.024660084210925044
anisotropic_l2,refined_corrected,0.12,0,target_certified,17,3.112844299990684,0.08609843369185016
anisotropic_l2,refined_corrected,0.08,0,target_certified,33,7.679100399953313,0.059525865814017226
anisotropic_l2,refined_corrected,0.04,0,target_certified,65,19.599859799956903,0.025483966140148567
curved_l2,polynomial,0.12,0,target_certified,33,6.855610999977216,0.09618713240289807
curved_l2,polynomial,0.08,0,target_certified,65,15.427890899940394,0.061219772295134825
curved_l2,polynomial,0.04,0,not_reached,,21.538099099998362,
curved_l2,refined_polynomial,0.12,0,target_certified,17,4.272305599995889,0.07534243386971264
curved_l2,refined_polynomial,0.08,0,target_certified,17,4.272305599995889,0.07534243386971264
curved_l2,refined_polynomial,0.04,0,target_certified,65,39.29754659999162,0.02705122948066097
curved_l2,refined_corrected,0.12,0,target_certified,17,4.817573299980722,0.07483894207935958
curved_l2,refined_corrected,0.08,0,target_certified,17,4.817573299980722,0.07483894207935958
curved_l2,refined_corrected,0.04,0,target_certified,65,26.277622999972664,0.027671265222741066
holdout_a,polynomial,0.12,0,target_certified,33,7.343263600021601,0.09290170222861256
holdout_a,polynomial,0.08,0,target_certified,65,16.403275599936023,0.05007486475174145
holdout_a,polynomial,0.04,0,not_reached,,22.511184199946,
holdout_a,refined_polynomial,0.12,0,target_certified,17,1.8366347999544814,0.0942894563364472
holdout_a,refined_polynomial,0.08,0,target_certified,17,6.917685699998401,0.07245564473167378
holdout_a,refined_polynomial,0.04,0,target_certified,65,30.092790900031105,0.02710829352204356
holdout_a,refined_corrected,0.12,0,target_certified,17,4.272319999989122,0.07248326612013609
holdout_a,refined_corrected,0.08,0,target_certified,17,4.272319999989122,0.07248326612013609
holdout_a,refined_corrected,0.04,0,target_certified,65,25.51170439994894,0.03950544485001332
holdout_b,polynomial,0.12,0,target_certified,65,12.192229799926281,0.07314881519211595
holdout_b,polynomial,0.08,0,target_certified,65,12.192229799926281,0.07314881519211595
holdout_b,polynomial,0.04,0,not_reached,,17.63005699997302,
holdout_b,refined_polynomial,0.12,0,target_certified,17,6.850415599998087,0.08132893977236816
holdout_b,refined_polynomial,0.08,0,target_certified,33,13.551394399954006,0.05774252543503387
holdout_b,refined_polynomial,0.04,0,target_certified,65,26.316547599970363,0.027055484694673976
holdout_b,refined_corrected,0.12,0,target_certified,17,4.630009400076233,0.10306684090597183
holdout_b,refined_corrected,0.08,0,target_certified,33,13.52954400004819,0.05687501614468587
holdout_b,refined_corrected,0.04,0,target_certified,65,19.125496600056067,0.03614244367108676
holdout_c,polynomial,0.12,0,target_certified,33,7.158692499971949,0.09106589735829491
holdout_c,polynomial,0.08,0,target_certified,65,15.150322400033474,0.05764890148321384
holdout_c,polynomial,0.04,0,not_reached,,21.035371899954043,
holdout_c,refined_polynomial,0.12,0,target_certified,17,5.696609599981457,0.0620382836610563
holdout_c,refined_polynomial,0.08,0,target_certified,17,5.696609599981457,0.0620382836610563
holdout_c,refined_polynomial,0.04,0,target_certified,33,24.01084460003767,0.03745250195668549
holdout_c,refined_corrected,0.12,0,target_certified,17,2.2350170999998227,0.08562696864002456
holdout_c,refined_corrected,0.08,0,target_certified,17,6.759755500010215,0.06258268394859966
holdout_c,refined_corrected,0.04,0,target_certified,33,14.977023800020106,0.03697896964397426
holdout_d,polynomial,0.12,0,target_certified,33,5.260548799997196,0.10541068724309599
holdout_d,polynomial,0.08,0,target_certified,65,12.739226899924688,0.05642874600365992
holdout_d,polynomial,0.04,0,not_reached,,18.022025299957022,
holdout_d,refined_polynomial,0.12,0,target_certified,17,3.9340601000003517,0.07792382868131167
holdout_d,refined_polynomial,0.08,0,target_certified,17,3.9340601000003517,0.07792382868131167
holdout_d,refined_polynomial,0.04,0,target_certified,65,30.608126000035554,0.029944150097578
holdout_d,refined_corrected,0.12,0,target_certified,17,2.05324889998883,0.11908201671921893
holdout_d,refined_corrected,0.08,0,target_certified,17,5.2313587999669835,0.07761461683751422
holdout_d,refined_corrected,0.04,0,target_certified,65,23.78337499999907,0.031021374247748857
variable_l1,refined_polynomial,0.12,1,target_certified,33,4.068560200044885,0.08837959996124405
variable_l1,refined_polynomial,0.08,1,target_certified,65,11.548302500043064,0.05166569497503737
variable_l1,refined_polynomial,0.04,1,not_reached,,15.360179200069979,
variable_l1,refined_corrected,0.12,1,target_certified,33,6.664138899999671,0.07818472564417193
variable_l1,refined_corrected,0.08,1,target_certified,33,6.664138899999671,0.07818472564417193
variable_l1,refined_corrected,0.04,1,not_reached,,16.401795799960382,
variable_l1,polynomial,0.12,1,not_reached,,11.338942499947734,
variable_l1,polynomial,0.08,1,not_reached,,11.338943699956872,
variable_l1,polynomial,0.04,1,not_reached,,11.338944199960679,
anisotropic_l2,refined_polynomial,0.12,1,target_certified,17,2.909565299982205,0.0676534481486881
anisotropic_l2,refined_polynomial,0.08,1,target_certified,17,2.909565299982205,0.0676534481486881
anisotropic_l2,refined_polynomial,0.04,1,target_certified,65,25.593880699947476,0.024660084210925044
anisotropic_l2,refined_corrected,0.12,1,target_certified,17,2.251632299972698,0.08609843369185016
anisotropic_l2,refined_corrected,0.08,1,target_certified,33,6.089214499923401,0.059525865814017226
anisotropic_l2,refined_corrected,0.04,1,target_certified,65,16.78921039996203,0.025483966140148567
anisotropic_l2,polynomial,0.12,1,target_certified,33,6.073814100003801,0.10079048291016565
anisotropic_l2,polynomial,0.08,1,target_certified,65,14.269190600025468,0.05896451263575199
anisotropic_l2,polynomial,0.04,1,not_reached,,20.274250700022094,
curved_l2,refined_polynomial,0.12,1,target_certified,17,3.636939399992116,0.07534243386971264
curved_l2,refined_polynomial,0.08,1,target_certified,17,3.636939399992116,0.07534243386971264
curved_l2,refined_polynomial,0.04,1,target_certified,65,35.35474669991527,0.02705122948066097
curved_l2,refined_corrected,0.12,1,target_certified,17,4.087504199938849,0.07483894207935958
curved_l2,refined_corrected,0.08,1,target_certified,17,4.087504199938849,0.07483894207935958
curved_l2,refined_corrected,0.04,1,target_certified,65,22.72825769998599,0.027671265222741066
curved_l2,polynomial,0.12,1,target_certified,33,5.852143199997954,0.09618713240289807
curved_l2,polynomial,0.08,1,target_certified,65,13.040557999978773,0.061219772295134825
curved_l2,polynomial,0.04,1,not_reached,,18.436687899986282,
holdout_a,refined_polynomial,0.12,1,target_certified,17,1.7151652000611648,0.0942894563364472
holdout_a,refined_polynomial,0.08,1,target_certified,17,6.611002100049518,0.07245564473167378
holdout_a,refined_polynomial,0.04,1,target_certified,65,29.977088200044818,0.02710829352204356
holdout_a,refined_corrected,0.12,1,target_certified,17,4.372078999993391,0.07248326612013609
holdout_a,refined_corrected,0.08,1,target_certified,17,4.372078999993391,0.07248326612013609
holdout_a,refined_corrected,0.04,1,target_certified,65,25.67633739998564,0.03950544485001332
holdout_a,polynomial,0.12,1,target_certified,33,6.193527100025676,0.09290170222861256
holdout_a,polynomial,0.08,1,target_certified,65,14.10388970002532,0.05007486475174145
holdout_a,polynomial,0.04,1,not_reached,,19.823409999953583,
holdout_b,refined_polynomial,0.12,1,target_certified,17,6.825633799890056,0.08132893977236816
holdout_b,refined_polynomial,0.08,1,target_certified,33,13.536622099927627,0.05774252543503387
holdout_b,refined_polynomial,0.04,1,target_certified,65,26.36407839995809,0.027055484694673976
holdout_b,refined_corrected,0.12,1,target_certified,17,4.607876699999906,0.10306684090597183
holdout_b,refined_corrected,0.08,1,target_certified,33,13.558556100004353,0.05687501614468587
holdout_b,refined_corrected,0.04,1,target_certified,65,19.17807750008069,0.03614244367108676
holdout_b,polynomial,0.12,1,target_certified,65,12.290205700090155,0.07314881519211595
holdout_b,polynomial,0.08,1,target_certified,65,12.290205700090155,0.07314881519211595
holdout_b,polynomial,0.04,1,not_reached,,17.797267300076783,
holdout_c,refined_polynomial,0.12,1,target_certified,17,5.605166299967095,0.0620382836610563
holdout_c,refined_polynomial,0.08,1,target_certified,17,5.605166299967095,0.0620382836610563
holdout_c,refined_polynomial,0.04,1,target_certified,33,23.80504959996324,0.03745250195668549
holdout_c,refined_corrected,0.12,1,target_certified,17,2.1786367000313476,0.08562696864002456
holdout_c,refined_corrected,0.08,1,target_certified,17,6.704020699951798,0.06258268394859966
holdout_c,refined_corrected,0.04,1,target_certified,33,14.813730399939232,0.03697896964397426
holdout_c,polynomial,0.12,1,target_certified,33,7.2517486999277025,0.09106589735829491
holdout_c,polynomial,0.08,1,target_certified,65,15.28656359994784,0.05764890148321384
holdout_c,polynomial,0.04,1,not_reached,,21.181551499990746,
holdout_d,refined_polynomial,0.12,1,target_certified,17,3.820454200031236,0.07792382868131167
holdout_d,refined_polynomial,0.08,1,target_certified,17,3.820454200031236,0.07792382868131167
holdout_d,refined_polynomial,0.04,1,target_certified,65,30.58084059995599,0.029944150097578
holdout_d,refined_corrected,0.12,1,target_certified,17,2.0234814001014456,0.11908201671921893
holdout_d,refined_corrected,0.08,1,target_certified,17,5.15084380004555,0.07761461683751422
holdout_d,refined_corrected,0.04,1,target_certified,65,23.777208000072278,0.031021374247748857
holdout_d,polynomial,0.12,1,target_certified,33,5.249622800038196,0.10541068724309599
holdout_d,polynomial,0.08,1,target_certified,65,12.690794599941,0.05642874600365992
holdout_d,polynomial,0.04,1,not_reached,,18.021517099929042,
variable_l1,refined_corrected,0.12,2,target_certified,33,6.694884900003672,0.07818472564417193
variable_l1,refined_corrected,0.08,2,target_certified,33,6.694884900003672,0.07818472564417193
variable_l1,refined_corrected,0.04,2,not_reached,,16.483362700091675,
variable_l1,polynomial,0.12,2,not_reached,,11.338387600029819,
variable_l1,polynomial,0.08,2,not_reached,,11.338388700038195,
variable_l1,polynomial,0.04,2,not_reached,,11.338389200042002,
variable_l1,refined_polynomial,0.12,2,target_certified,33,4.0907214999897406,0.08837959996124405
variable_l1,refined_polynomial,0.08,2,target_certified,65,11.633181000011973,0.05166569497503737
variable_l1,refined_polynomial,0.04,2,not_reached,,15.523676300072111,
anisotropic_l2,refined_corrected,0.12,2,target_certified,17,2.240238699945621,0.08609843369185016
