case,method,budget,n,rank,target
skew,polynomial,37,128,1,0.04
skew,polynomial,3,128,1,0.04
skew,polynomial,1,128,1,0.04
skew,polynomial,37,256,1,0.02
skew,polynomial,3,256,1,0.02
skew,polynomial,1,256,1,0.02
skew,polynomial,37,512,1,0.01
skew,polynomial,3,512,1,0.01
skew,polynomial,1,512,1,0.01
skew,uncorrected,37,1024,1,0.04
skew,uncorrected,3,1024,1,0.04
skew,uncorrected,1,1024,1,0.04
skew,uncorrected,37,2048,1,0.02
skew,uncorrected,3,2048,1,0.02
skew,uncorrected,1,2048,1,0.02
skew,uncorrected,37,4096,1,0.01
skew,uncorrected,3,4096,1,0.01
skew,uncorrected,1,4096,1,0.01
skew,corrected,37,256,1,0.04
skew,corrected,3,256,1,0.04
skew,corrected,1,256,1,0.04
skew,corrected,37,256,1,0.02
skew,corrected,3,256,1,0.02
skew,corrected,1,256,1,0.02
skew,corrected,37,512,1,0.01
skew,corrected,3,512,1,0.01
skew,corrected,1,512,1,0.01
skew_strong,polynomial,37,128,1,0.04
skew_strong,polynomial,3,128,1,0.04
skew_strong,polynomial,1,128,1,0.04
skew_strong,polynomial,37,256,1,0.02
skew_strong,polynomial,3,256,1,0.02
skew_strong,polynomial,1,256,1,0.02
skew_strong,polynomial,37,512,1,0.01
skew_strong,polynomial,3,512,1,0.01
skew_strong,polynomial,1,512,1,0.01
skew_strong,uncorrected,37,1024,1,0.04
skew_strong,uncorrected,3,1024,1,0.04
skew_strong,uncorrected,1,1024,1,0.04
skew_strong,uncorrected,37,2048,1,0.02
skew_strong,uncorrected,3,2048,1,0.02
skew_strong,uncorrected,1,2048,1,0.02
skew_strong,uncorrected,37,4096,1,0.01
skew_strong,uncorrected,3,4096,1,0.01
skew_strong,uncorrected,1,4096,1,0.01
skew_strong,corrected,37,256,1,0.04
skew_strong,corrected,3,256,1,0.04
skew_strong,corrected,1,256,1,0.04
skew_strong,corrected,37,512,1,0.02
skew_strong,corrected,3,512,1,0.02
skew_strong,corrected,1,512,1,0.02
skew_strong,corrected,37,512,1,0.01
skew_strong,corrected,3,512,1,0.01
skew_strong,corrected,1,512,1,0.01
two_peaks,polynomial,37,256,1,0.04
two_peaks,polynomial,3,256,1,0.04
two_peaks,polynomial,1,256,1,0.04
two_peaks,polynomial,37,512,1,0.02
two_peaks,polynomial,3,512,1,0.02
two_peaks,polynomial,1,512,1,0.02
two_peaks,polynomial,37,1024,1,0.01
two_peaks,polynomial,3,1024,1,0.01
two_peaks,polynomial,1,1024,1,0.01
two_peaks,uncorrected,37,2048,1,0.04
two_peaks,uncorrected,3,2048,1,0.04
two_peaks,uncorrected,1,2048,1,0.04
two_peaks,uncorrected,37,4096,1,0.02
two_peaks,uncorrected,3,4096,1,0.02
two_peaks,uncorrected,1,4096,1,0.02
two_peaks,uncorrected,37,16384,1,0.01
two_peaks,uncorrected,3,16384,1,0.01
two_peaks,uncorrected,1,16384,1,0.01
two_peaks,corrected,37,512,1,0.04
two_peaks,corrected,3,512,1,0.04
two_peaks,corrected,1,512,1,0.04
two_peaks,corrected,37,1024,1,0.02
two_peaks,corrected,3,1024,1,0.02
two_peaks,corrected,1,1024,1,0.02
two_peaks,corrected,37,2048,1,0.01
two_peaks,corrected,3,2048,1,0.01
two_peaks,corrected,1,2048,1,0.01
