case,n,method,scope,status,epsilon,width,degree,residual_upper,distance_upper,bound_upper,construction_seconds,proposal_seconds,total_seconds,certified,pruned,not_certified
skew,256,polynomial,standard,certified,,9,3,0.013923009058287337,0.001452819557730911,0.015375828616018248,0.01107210002373904,0.0025464000646024942,0.43809340009465814,5,24,1
skew,256,uncorrected,wide,certified,"[7, 512]",,,0.05023294517195659,0.016010624423751865,0.06624356959570846,0.009681200026534498,0.06098710000514984,2.6947350000264123,1,98,1
skew,256,corrected,wide,certified,"[1, 32]",,,0.01683944966484779,0.0023591133232998703,0.019198562988147663,0.012480300036258996,0.061177399940788746,2.953248200006783,5,94,1
skew,1024,polynomial,standard,certified,,7,2,0.003463811021085404,0.0008585169556229807,0.004322327976708385,0.03856320003978908,0.003474900033324957,2.662861100048758,15,15,0
skew,1024,uncorrected,wide,certified,"[17, 4096]",,,0.020031971666666364,0.004879625000945102,0.024911596667611467,0.038487000041641295,0.15783349995035678,9.945477000088431,5,94,1
skew,1024,corrected,wide,certified,"[11, 1024]",,,0.0025521750906110537,0.0009934028397252381,0.003545577930336292,0.03875959990546107,0.15244880004320294,10.782451699953526,10,89,1
skew_strong,256,polynomial,standard,certified,,7,3,0.014207496817566225,0.001440753196449037,0.015648250014015264,0.01018439990002662,0.002426000079140067,0.4356044998858124,3,26,1
skew_strong,256,uncorrected,wide,certified,"[13, 1024]",,,0.0678920280242677,0.018798789306020084,0.0866908173302878,0.009752099984325469,0.06285129999741912,3.0391574000241235,3,95,2
skew_strong,256,corrected,wide,certified,"[31, 1024]",,,0.02451976756701136,0.0034320419472964763,0.027951809514307834,0.010014599887654185,0.07235170004423708,3.174878799938597,4,94,2
skew_strong,1024,polynomial,standard,certified,,11,3,0.0034472540608240843,0.0008659301059978599,0.004313184166821945,0.03886249999050051,0.0033798000076785684,2.6775674000382423,11,19,0
skew_strong,1024,uncorrected,wide,certified,"[19, 4096]",,,0.020970171597805693,0.006895237720281974,0.027865409318087665,0.04180820006877184,0.1476973999524489,10.11460430000443,2,96,2
skew_strong,1024,corrected,wide,certified,"[39, 4096]",,,0.002794451193680608,0.0009830952852012225,0.00377754647888183,0.039054400054737926,0.15128730004653335,10.908000100054778,7,91,2
two_peaks,256,polynomial,standard,certified,,7,3,0.028068108290991073,0.0022463406758194597,0.03031444896681053,0.009811399970203638,0.002625499968416989,0.38079650001600385,1,28,1
two_peaks,256,uncorrected,wide,certified,"[9, 1024]",,,0.1245110654830921,0.01750674943742956,0.14201781492052165,0.009956699912436306,0.07242159999441355,3.1653622000012547,5,94,1
two_peaks,256,corrected,wide,certified,"[29, 1024]",,,0.07483444771692273,0.006942657332809035,0.08177710504973176,0.010052999947220087,0.07333949999883771,3.198467699927278,3,94,3
two_peaks,1024,polynomial,standard,certified,,10,3,0.006895605662061229,0.0008317735401290998,0.007727379202190328,0.039054399938322604,0.003952000057324767,1.6816279999911785,2,28,0
two_peaks,1024,uncorrected,wide,certified,"[19, 4096]",,,0.04226217304049942,0.00927344860609472,0.05153562164659414,0.039026200072839856,0.15439739997964352,10.206546599976718,5,92,3
two_peaks,1024,corrected,wide,certified,"[21, 2048]",,,0.011609643737671824,0.0011081672829449162,0.01271781102061674,0.03837760002352297,0.15942179993726313,10.11209950002376,2,95,3
frequency_1_asym_0.15_ripple_0,256,polynomial,standard,certified,,8,3,0.010625157174386673,0.003258589315288385,0.013883746489675058,0.009993099956773221,0.0025248000165447593,0.6126505000283942,6,24,0
frequency_1_asym_0.15_ripple_0,256,uncorrected,standard,certified,"[1, 64]",,,0.044445663760745754,0.01804588380637656,0.062491547567122316,0.010054900078102946,0.02131559990812093,1.1378239000914618,3,34,0
frequency_1_asym_0.15_ripple_0,256,corrected,standard,certified,"[9, 256]",,,0.021450742261458038,0.00461649042649601,0.026067232687954047,0.014215899980627,0.021981299971230328,1.1244847999187186,2,35,0
frequency_1_asym_0.15_ripple_0,1024,polynomial,standard,certified,,12,3,0.0026353991966399674,0.0008541346985087285,0.003489533895148696,0.03890100005082786,0.003572499961592257,2.821320299990475,10,20,0
frequency_1_asym_0.15_ripple_0,1024,uncorrected,standard,certified,"[5, 1024]",,,0.014344214140354639,0.005743028494344801,0.02008724263469944,0.03785550000611693,0.05797199998050928,4.189993300009519,2,35,0
frequency_1_asym_0.15_ripple_0,1024,corrected,standard,certified,"[23, 2048]",,,0.0022966007505387147,0.0010231516185320942,0.0033197523690708087,0.03920559992548078,0.05912220000755042,4.427238199976273,3,34,0
frequency_1_asym_0.15_ripple_0.12,256,polynomial,standard,certified,,6,2,0.03931436873428858,0.0021614617673734724,0.04147583050166205,0.009742600028403103,0.0023961999686434865,0.4095374000025913,1,28,1
frequency_1_asym_0.15_ripple_0.12,256,uncorrected,standard,certified,"[9, 512]",,,0.08532703282141108,0.02313702091686576,0.10846405373827683,0.010033100028522313,0.023156699957326055,1.2528641000390053,4,32,1
frequency_1_asym_0.15_ripple_0.12,256,corrected,standard,certified,"[13, 512]",,,0.05844373495271219,0.003188841587025173,0.06163257653973737,0.010498400079086423,0.02351879992056638,1.205447499989532,2,34,1
frequency_1_asym_0.15_ripple_0.12,1024,polynomial,standard,certified,,9,3,0.005194787615434768,0.00042919025993570434,0.005623977875370472,0.039149299962446094,0.0035459999926388264,1.8123347000218928,2,27,1
frequency_1_asym_0.15_ripple_0.12,1024,uncorrected,standard,certified,"[9, 2048]",,,0.02385640477082527,0.0057974329196314005,0.02965383769045667,0.038836500025354326,0.05822699994314462,4.300328899989836,2,35,0
frequency_1_asym_0.15_ripple_0.12,1024,corrected,standard,certified,"[9, 1024]",,,0.006936044382253338,0.0005948528307955055,0.007530897213048844,0.03911569993942976,0.05863650003448129,4.4190861999522895,2,35,0
frequency_1_asym_0.35_ripple_0,256,polynomial,standard,certified,,7,3,0.014207496817566225,0.001440753196449037,0.015648250014015264,0.009708500001579523,0.0023599000414833426,0.4850637000054121,3,26,1
frequency_1_asym_0.35_ripple_0,256,uncorrected,standard,certified,"[7, 512]",,,0.07222193983024632,0.02024235865707946,0.09246429848732578,0.009964699973352253,0.02259279997088015,1.1973289999878034,3,33,1
frequency_1_asym_0.35_ripple_0,256,corrected,standard,certified,"[1, 32]",,,0.026000759116743644,0.00359817530614971,0.029598934422893353,0.010094399913214147,0.027711700065992773,1.2873308999696746,4,32,1
frequency_1_asym_0.35_ripple_0,1024,polynomial,standard,certified,,11,3,0.0034472540608240843,0.0008659301059978599,0.004313184166821945,0.03901860001496971,0.0033120999578386545,2.951666099950671,11,19,0
frequency_1_asym_0.35_ripple_0,1024,uncorrected,standard,certified,"[5, 1024]",,,0.0209526257715349,0.007258104354011179,0.02821073012554608,0.03878069994971156,0.05166780005674809,4.151849500020035,2,35,0
