case,n,target,polynomial_seconds,corrected_seconds,speed_ratio
variable_l1,33,0.12,13.125048199901357,14.858402300043963,0.883341824703624
variable_l1,33,0.08,17.550969599979,18.83882189996075,0.9316383844584022
variable_l1,33,0.04,,,
anisotropic_l2,33,0.12,14.292886799899861,11.30706410005223,1.2640670180541242
anisotropic_l2,33,0.08,26.329021299956366,11.30706410005223,2.328546213851812
anisotropic_l2,33,0.04,41.8617438999936,18.59562429995276,2.251160984151521
curved_l2,33,0.12,12.339891899959184,13.971012800000608,0.8832496309758335
curved_l2,33,0.08,12.339891899959184,13.971012800000608,0.8832496309758335
curved_l2,33,0.04,,,
holdout_a,33,0.12,12.238600999931805,11.897770300041884,1.0286466027915098
holdout_a,33,0.08,12.238600999931805,11.897770300041884,1.0286466027915098
holdout_a,33,0.04,,,
holdout_b,33,0.12,12.090312200016342,9.46989109995775,1.2767107955518395
holdout_b,33,0.08,12.090312200016342,9.46989109995775,1.2767107955518395
holdout_b,33,0.04,,,
holdout_c,33,0.12,11.675818899995647,10.966561100096442,1.0646745860826845
holdout_c,33,0.08,11.675818899995647,10.966561100096442,1.0646745860826845
holdout_c,33,0.04,27.67286339995917,10.966561100096442,2.523385694692916
holdout_d,33,0.12,12.311422499944456,11.37541280000005,1.0822835809478846
holdout_d,33,0.08,12.311422499944456,11.37541280000005,1.0822835809478846
holdout_d,33,0.04,,,
