case,n,method,repetition,status,bound,residual,distance,boundary,degree,scale,junction_boxes,limited_boxes,total_seconds
variable_l1,33,polynomial,0,certified,0.3696443944391192,0.33064709822888383,0.038997296210235365,8.093357714154988e-11,3,2.0,387,1,3.031619100016542
variable_l1,33,uncorrected,0,certified,0.2500732122893524,0.19768837786806,0.05238483442129239,0.008798685536044742,4,2.0,361,0,3.1728193999733776
variable_l1,33,corrected,0,certified,0.37833380872249395,0.33507764156864134,0.04325616715385263,0.0011799469451790844,4,2.0,335,0,3.000094399903901
variable_l1,65,polynomial,0,certified,0.18587676475665993,0.15274677031623254,0.03312999444042738,0.002071559589738868,4,2.0,519,0,6.394129400025122
variable_l1,65,uncorrected,0,certified,0.1528673387484193,0.11364493771946498,0.03922240102895431,0.006221857593209679,4,2.0,535,0,6.424117699963972
variable_l1,65,corrected,0,certified,0.2352419092935328,0.20592656154088426,0.02931534775264855,8.07086103136144e-11,3,0.5,483,0,6.326203600037843
anisotropic_l2,33,polynomial,0,certified,0.10031753490862326,0.07446207872800219,0.025855456180621066,0.002504869004602219,4,2.0,1247,34,7.678115500020795
anisotropic_l2,33,uncorrected,0,certified,0.17584516070821116,0.15604488100589936,0.019800279702311793,0.021129470069587066,4,2.0,1407,253,8.348628200008534
anisotropic_l2,33,corrected,0,certified,0.18821995440920247,0.15303757796885598,0.0351823764403465,0.014140259828758482,3,2.0,631,0,6.207816799986176
anisotropic_l2,65,polynomial,0,certified,0.05779519180038123,0.044194859147151835,0.01360033265322939,0.015478128603017694,5,2.0,1975,56,15.312503900029697
anisotropic_l2,65,uncorrected,0,certified,0.12766405821652688,0.11659568360455441,0.011068374611972447,5.259502248132296e-06,3,2.0,1883,97,14.14575619995594
anisotropic_l2,65,corrected,0,certified,0.103380307294237,0.08572371122823604,0.017656596066000955,0.006017897868897352,4,2.0,1153,0,12.405545399989933
curved_l2,33,polynomial,0,certified,0.09618713240289807,0.06654783732982814,0.029639295073069942,0.00598811643497196,5,2.0,644,48,5.506752099958248
curved_l2,33,uncorrected,0,certified,0.16962736221199826,0.14344817540319968,0.026179186808798573,0.000663872590184818,3,2.0,633,77,4.619209900032729
curved_l2,33,corrected,0,certified,0.16010142766358712,0.1195701951411815,0.040531232522405626,0.004758442900745481,3,2.0,527,0,4.150144499959424
curved_l2,65,polynomial,0,certified,0.06029302809068517,0.043745334895056075,0.0165476931956291,0.0012116155467283285,4,2.0,1022,16,10.171649800031446
curved_l2,65,uncorrected,0,certified,0.097311727234712,0.08184806402791885,0.015463663206793161,0.0007680442222744824,3,2.0,1010,41,8.959709800081328
curved_l2,65,corrected,0,certified,0.0841126284510206,0.0651533828089767,0.018959245642043904,0.0016416251677510171,4,2.0,953,2,9.148226799909025
variable_l1,33,uncorrected,1,certified,0.2500732122893524,0.19768837786806,0.05238483442129239,0.008798685536044742,4,2.0,361,0,3.162459500017576
variable_l1,33,corrected,1,certified,0.37833380872249395,0.33507764156864134,0.04325616715385263,0.0011799469451790844,4,2.0,335,0,3.000618200050667
variable_l1,33,polynomial,1,certified,0.3696443944391192,0.33064709822888383,0.038997296210235365,8.093357714154988e-11,3,2.0,387,1,3.037018599919975
variable_l1,65,uncorrected,1,certified,0.1528673387484193,0.11364493771946498,0.03922240102895431,0.006221857593209679,4,2.0,535,0,6.454846300068311
variable_l1,65,corrected,1,certified,0.2352419092935328,0.20592656154088426,0.02931534775264855,8.07086103136144e-11,3,0.5,483,0,6.383151600020938
variable_l1,65,polynomial,1,certified,0.18587676475665993,0.15274677031623254,0.03312999444042738,0.002071559589738868,4,2.0,519,0,6.388989700004458
anisotropic_l2,33,uncorrected,1,certified,0.17584516070821116,0.15604488100589936,0.019800279702311793,0.021129470069587066,4,2.0,1407,253,8.331647099927068
anisotropic_l2,33,corrected,1,certified,0.18821995440920247,0.15303757796885598,0.0351823764403465,0.014140259828758482,3,2.0,631,0,6.19119879999198
anisotropic_l2,33,polynomial,1,certified,0.10031753490862326,0.07446207872800219,0.025855456180621066,0.002504869004602219,4,2.0,1247,34,7.64748809998855
anisotropic_l2,65,uncorrected,1,certified,0.12766405821652688,0.11659568360455441,0.011068374611972447,5.259502248132296e-06,3,2.0,1883,97,14.19382659997791
anisotropic_l2,65,corrected,1,certified,0.103380307294237,0.08572371122823604,0.017656596066000955,0.006017897868897352,4,2.0,1153,0,12.374063800089061
anisotropic_l2,65,polynomial,1,certified,0.05779519180038123,0.044194859147151835,0.01360033265322939,0.015478128603017694,5,2.0,1975,56,15.33338950003963
curved_l2,33,uncorrected,1,certified,0.16962736221199826,0.14344817540319968,0.026179186808798573,0.000663872590184818,3,2.0,633,77,4.626746399910189
curved_l2,33,corrected,1,certified,0.16010142766358712,0.1195701951411815,0.040531232522405626,0.004758442900745481,3,2.0,527,0,4.1666411000769585
curved_l2,33,polynomial,1,certified,0.09618713240289807,0.06654783732982814,0.029639295073069942,0.00598811643497196,5,2.0,644,48,5.52986560005229
curved_l2,65,uncorrected,1,certified,0.097311727234712,0.08184806402791885,0.015463663206793161,0.0007680442222744824,3,2.0,1010,41,8.976846900070086
curved_l2,65,corrected,1,certified,0.0841126284510206,0.0651533828089767,0.018959245642043904,0.0016416251677510171,4,2.0,953,2,9.184347699978389
curved_l2,65,polynomial,1,certified,0.06029302809068517,0.043745334895056075,0.0165476931956291,0.0012116155467283285,4,2.0,1022,16,10.196309600025415
variable_l1,33,corrected,2,certified,0.37833380872249395,0.33507764156864134,0.04325616715385263,0.0011799469451790844,4,2.0,335,0,2.975230999989435
variable_l1,33,polynomial,2,certified,0.3696443944391192,0.33064709822888383,0.038997296210235365,8.093357714154988e-11,3,2.0,387,1,3.026998499990441
variable_l1,33,uncorrected,2,certified,0.2500732122893524,0.19768837786806,0.05238483442129239,0.008798685536044742,4,2.0,361,0,3.1347209999803454
variable_l1,65,corrected,2,certified,0.2352419092935328,0.20592656154088426,0.02931534775264855,8.07086103136144e-11,3,0.5,483,0,6.384452300029807
variable_l1,65,polynomial,2,certified,0.18587676475665993,0.15274677031623254,0.03312999444042738,0.002071559589738868,4,2.0,519,0,6.427544000092894
variable_l1,65,uncorrected,2,certified,0.1528673387484193,0.11364493771946498,0.03922240102895431,0.006221857593209679,4,2.0,535,0,6.439682999975048
anisotropic_l2,33,corrected,2,certified,0.18821995440920247,0.15303757796885598,0.0351823764403465,0.014140259828758482,3,2.0,631,0,6.17603189998772
anisotropic_l2,33,polynomial,2,certified,0.10031753490862326,0.07446207872800219,0.025855456180621066,0.002504869004602219,4,2.0,1247,34,7.66166169999633
anisotropic_l2,33,uncorrected,2,certified,0.17584516070821116,0.15604488100589936,0.019800279702311793,0.021129470069587066,4,2.0,1407,253,8.398612200049683
anisotropic_l2,65,corrected,2,certified,0.103380307294237,0.08572371122823604,0.017656596066000955,0.006017897868897352,4,2.0,1153,0,12.378141599940136
anisotropic_l2,65,polynomial,2,certified,0.05779519180038123,0.044194859147151835,0.01360033265322939,0.015478128603017694,5,2.0,1975,56,15.337912599905394
anisotropic_l2,65,uncorrected,2,certified,0.12766405821652688,0.11659568360455441,0.011068374611972447,5.259502248132296e-06,3,2.0,1883,97,14.145610000006855
curved_l2,33,corrected,2,certified,0.16010142766358712,0.1195701951411815,0.040531232522405626,0.004758442900745481,3,2.0,527,0,4.147096099914052
curved_l2,33,polynomial,2,certified,0.09618713240289807,0.06654783732982814,0.029639295073069942,0.00598811643497196,5,2.0,644,48,5.540734900045209
curved_l2,33,uncorrected,2,certified,0.16962736221199826,0.14344817540319968,0.026179186808798573,0.000663872590184818,3,2.0,633,77,4.6181036999914795
curved_l2,65,corrected,2,certified,0.0841126284510206,0.0651533828089767,0.018959245642043904,0.0016416251677510171,4,2.0,953,2,9.179140800028108
curved_l2,65,polynomial,2,certified,0.06029302809068517,0.043745334895056075,0.0165476931956291,0.0012116155467283285,4,2.0,1022,16,10.14882760006003
curved_l2,65,uncorrected,2,certified,0.097311727234712,0.08184806402791885,0.015463663206793161,0.0007680442222744824,3,2.0,1010,41,8.94745070009958
